TransactionID,Timestamp,StoreName,BranchName,BranchID,TotalBranches,CustomerID,Category,Product,Quantity,UnitPrice,TotalAmount,Discount,FinalAmount,LoyaltyPoints,PaymentType
TXN000001,10-05-2025 13:35,SmartRetail,Koramangala,4,5,1028527,Personal Care,Soap (125g),1,40,40,0.14,39.86,0,Cash
TXN000002,07-07-2024 14:32,SmartRetail,Indiranagar,1,5,1026388,Personal Care,Toothpaste (150g),3,90,270,32.03,237.97,2,UPI
TXN000003,09-11-2024 19:32,SmartRetail,Koramangala,4,5,1046974,Personal Care,Toothpaste (150g),2,90,180,17.28,162.72,1,Card
TXN000004,10-11-2024 20:28,SmartRetail,Koramangala,4,5,1087854,Personal Care,Toothpaste (150g),2,90,180,2.85,177.15,1,UPI
TXN000005,30-11-2024 17:54,SmartRetail,Whitefield,2,5,1003629,Beverages,Pepsi (2L),5,80,400,21.57,378.43,3,Card
TXN000006,17-06-2024 08:13,SmartRetail,Koramangala,4,5,1042412,Dairy,Paneer (200g),5,85,425,42.05,382.95,3,Cash
TXN000007,25-10-2024 10:59,SmartRetail,Yelahanka,5,5,1044482,Beverages,Pepsi (2L),5,80,400,0.83,399.17,3,Cash
TXN000008,10-10-2024 15:31,SmartRetail,Indiranagar,1,5,1069745,Dairy,Curd (500g),1,35,35,0.18,34.82,0,Cash
TXN000009,17-09-2024 12:01,SmartRetail,Whitefield,2,5,1039286,Personal Care,Toothpaste (150g),1,90,90,9.01,80.99,0,Cash
TXN000010,28-12-2024 09:05,SmartRetail,Koramangala,4,5,1012393,Groceries,Cooking Oil (1L),1,130,130,9.48,120.52,1,UPI
TXN000011,04-03-2025 15:48,SmartRetail,Whitefield,2,5,1029463,Personal Care,Shampoo (250ml),5,180,900,124.21,775.79,7,Card
TXN000012,06-03-2025 17:35,SmartRetail,Indiranagar,1,5,1005636,Personal Care,Toothpaste (150g),2,90,180,13.36,166.64,1,UPI
TXN000013,07-08-2024 14:02,SmartRetail,Yelahanka,5,5,1036262,Dairy,Cheese (200g),2,120,240,18.6,221.4,2,Cash
TXN000014,23-03-2025 15:32,SmartRetail,Yelahanka,5,5,1066490,Dairy,Curd (500g),1,35,35,1.34,33.66,0,Card
TXN000015,14-02-2025 21:41,SmartRetail,Jayanagar,3,5,1047108,Dairy,Curd (500g),2,35,70,1.5,68.5,0,Wallet
TXN000016,22-04-2025 14:09,SmartRetail,Yelahanka,5,5,1080701,Personal Care,Shampoo (250ml),3,180,540,49.21,490.79,4,UPI
TXN000017,17-11-2024 11:19,SmartRetail,Koramangala,4,5,1091880,Dairy,Paneer (200g),4,85,340,6.42,333.58,3,Card
TXN000018,25-07-2024 19:55,SmartRetail,Yelahanka,5,5,1024890,Dairy,Curd (500g),4,35,140,3.23,136.77,1,Wallet
TXN000019,18-06-2024 08:29,SmartRetail,Indiranagar,1,5,1092964,Personal Care,Soap (125g),3,40,120,8.19,111.81,1,Card
TXN000020,02-04-2025 20:04,SmartRetail,Koramangala,4,5,1033354,Beverages,Coca Cola (2L),3,85,255,36.79,218.21,2,Wallet
TXN000021,19-06-2024 20:58,SmartRetail,Jayanagar,3,5,1065423,Beverages,Pepsi (2L),3,80,240,32.88,207.12,2,Cash
TXN000022,05-07-2024 17:35,SmartRetail,Indiranagar,1,5,1053038,Dairy,Cheese (200g),5,120,600,68.1,531.9,5,Wallet
TXN000023,15-09-2024 18:31,SmartRetail,Koramangala,4,5,1072539,Dairy,Cheese (200g),5,120,600,76.61,523.39,5,Wallet
TXN000024,28-09-2024 21:45,SmartRetail,Koramangala,4,5,1001948,Dairy,Butter (100g),5,55,275,27.1,247.9,2,Wallet
TXN000025,28-10-2024 14:33,SmartRetail,Jayanagar,3,5,1029136,Dairy,Cheese (200g),2,120,240,10.66,229.34,2,UPI
TXN000026,07-12-2024 21:42,SmartRetail,Indiranagar,1,5,1091538,Personal Care,Shampoo (250ml),2,180,360,27.08,332.92,3,Wallet
TXN000027,01-04-2025 14:10,SmartRetail,Koramangala,4,5,1042405,Dairy,Curd (500g),1,35,35,4.62,30.38,0,UPI
TXN000028,12-01-2025 17:33,SmartRetail,Yelahanka,5,5,1047706,Personal Care,Toothpaste (150g),3,90,270,29.81,240.19,2,Cash
TXN000029,22-06-2024 13:10,SmartRetail,Indiranagar,1,5,1010808,Personal Care,Shampoo (250ml),4,180,720,30.56,689.44,6,Wallet
TXN000030,28-05-2024 08:09,SmartRetail,Jayanagar,3,5,1081118,Dairy,Cheese (200g),4,120,480,45.28,434.72,4,UPI
